time,price_actual,price_day_ahead,forecast_solar_day_ahead,forecast_wind_onshore_day_ahead,total_load_forecast,oil_price,day_of_week,hour_of_day,date
2015-01-01 00:00:00+00:00,65.41,50.1,17.0,6436.0,26118.0,45.1353,3,0,2015-01-01
2015-01-01 01:00:00+00:00,64.92,48.1,16.0,5856.0,24934.0,45.1353,3,1,2015-01-01
2015-01-01 02:00:00+00:00,64.48,47.33,8.0,5454.0,23515.0,45.1353,3,2,2015-01-01
2015-01-01 03:00:00+00:00,59.32,42.27,2.0,5151.0,22642.0,45.1353,3,3,2015-01-01
2015-01-01 04:00:00+00:00,56.04,38.41,9.0,4861.0,21785.0,45.1353,3,4,2015-01-01
2015-01-01 05:00:00+00:00,53.63,35.72,4.0,4617.0,21441.0,45.1353,3,5,2015-01-01
2015-01-01 06:00:00+00:00,51.73,35.13,3.0,4276.0,21285.0,45.1353,3,6,2015-01-01
2015-01-01 07:00:00+00:00,51.43,36.22,12.0,3994.0,21545.0,45.1353,3,7,2015-01-01
2015-01-01 08:00:00+00:00,48.98,32.4,39.0,3602.0,21443.0,45.1353,3,8,2015-01-01
2015-01-01 09:00:00+00:00,54.2,36.6,784.0,3212.0,21560.0,45.1353,3,9,2015-01-01
2015-01-01 10:00:00+00:00,58.94,43.1,1996.0,2617.0,22824.0,45.1353,3,10,2015-01-01
2015-01-01 11:00:00+00:00,59.86,45.14,2990.0,2450.0,23720.0,45.1353,3,11,2015-01-01
2015-01-01 12:00:00+00:00,60.12,45.14,3842.0,2819.0,24180.0,45.1353,3,12,2015-01-01
2015-01-01 13:00:00+00:00,62.05,47.35,3812.0,2830.0,24797.0,45.1353,3,13,2015-01-01
2015-01-01 14:00:00+00:00,62.06,47.35,3699.0,2851.0,25222.0,45.1353,3,14,2015-01-01
2015-01-01 15:00:00+00:00,59.76,43.61,3369.0,2822.0,24173.0,45.1353,3,15,2015-01-01
2015-01-01 16:00:00+00:00,61.18,44.91,2615.0,2562.0,23659.0,45.1353,3,16,2015-01-01
2015-01-01 17:00:00+00:00,64.74,48.1,1387.0,2578.0,23982.0,45.1353,3,17,2015-01-01
2015-01-01 18:00:00+00:00,74.26,58.02,399.0,2824.0,26981.0,45.1353,3,18,2015-01-01
2015-01-01 19:00:00+00:00,74.24,61.01,100.0,2801.0,28515.0,45.1353,3,19,2015-01-01
2015-01-01 20:00:00+00:00,75.64,62.69,44.0,2999.0,30482.0,45.1353,3,20,2015-01-01
2015-01-01 21:00:00+00:00,73.92,60.41,26.0,3185.0,30739.0,45.1353,3,21,2015-01-01
2015-01-01 22:00:00+00:00,70.53,58.15,13.0,3446.0,29756.0,45.1353,3,22,2015-01-01
2015-01-01 23:00:00+00:00,64.13,53.6,14.0,3482.0,27589.0,45.1353,3,23,2015-01-01
2015-01-02 00:00:00+00:00,64.02,10.0,5.0,13329.0,27309.0,43.8585,4,0,2015-01-02
2015-01-02 01:00:00+00:00,58.46,7.0,35.0,12718.0,25397.0,43.8585,4,1,2015-01-02
2015-01-02 02:00:00+00:00,54.7,5.0,43.0,12375.0,23640.0,43.8585,4,2,2015-01-02
2015-01-02 03:00:00+00:00,54.91,4.0,32.0,11524.0,22638.0,43.8585,4,3,2015-01-02
2015-01-02 04:00:00+00:00,53.07,4.0,31.0,11310.0,22238.0,43.8585,4,4,2015-01-02
2015-01-02 05:00:00+00:00,54.23,4.8,26.0,11111.0,22299.0,43.8585,4,5,2015-01-02
2015-01-02 06:00:00+00:00,58.22,5.0,21.0,11303.0,22660.0,43.8585,4,6,2015-01-02
2015-01-02 07:00:00+00:00,67.55,7.04,136.0,11297.0,23449.0,43.8585,4,7,2015-01-02
2015-01-02 08:00:00+00:00,70.33,7.04,175.0,11048.0,24067.0,43.8585,4,8,2015-01-02
2015-01-02 09:00:00+00:00,71.26,7.88,1092.0,10711.0,25737.0,43.8585,4,9,2015-01-02
2015-01-02 10:00:00+00:00,75.86,10.71,2319.0,10379.0,27883.0,43.8585,4,10,2015-01-02
2015-01-02 11:00:00+00:00,73.65,10.0,3451.0,10423.0,28969.0,43.8585,4,11,2015-01-02
2015-01-02 12:00:00+00:00,74.19,7.04,4005.0,10989.0,28894.0,43.8585,4,12,2015-01-02
