date,oil_price
2020-03-04,42.49694
2020-03-03,42.08195
2020-03-02,43.00713
2020-03-01,40.37255
2020-02-29,41.06431
2020-02-28,41.06441
2020-02-27,42.55531
2020-02-26,44.49947
2020-02-25,46.1279
2020-02-24,47.40306
2020-02-23,48.03585
2020-02-22,49.2808
2020-02-21,49.28327
2020-02-20,49.59908
2020-02-19,49.73846
2020-02-18,48.55872
2020-02-17,48.1745
2020-02-16,48.28671
2020-02-15,48.46788
2020-02-14,48.46949
2020-02-13,47.42684
2020-02-12,47.34834
2020-02-11,45.8999
2020-02-10,45.645
2020-02-09,45.4314
2020-02-08,46.0017
2020-02-07,46.0053
2020-02-06,46.8404
2020-02-05,46.5415
2020-02-04,44.9213
2020-02-03,45.1343
2020-02-02,46.0317
2020-02-01,46.5237
2020-01-31,46.5206
2020-01-30,47.9283
2020-01-29,48.2299
2020-01-28,48.7906
2020-01-27,48.0669
2020-01-26,47.7353
2020-01-25,49.1681
2020-01-24,49.1697
2020-01-23,50.3462
2020-01-22,50.5881
2020-01-21,52.5908
2020-01-20,52.913
2020-01-19,53.4357
2020-01-18,53.0485
2020-01-17,53.0494
2020-01-16,52.6386
2020-01-15,52.1347
2020-01-14,52.1993
2020-01-13,52.1749
2020-01-12,52.9873
2020-01-11,53.1602
2020-01-10,53.1654
2020-01-09,53.5853
2020-01-08,53.9353
2020-01-07,58.216
2020-01-06,56.234
2020-01-05,57.1681
2020-01-04,56.49
2020-01-03,56.49
2020-01-02,54.738
2020-01-01,54.6735
2019-12-31,54.5012
2019-12-30,55.0154
2019-12-29,55.1942
2019-12-28,55.2274
2019-12-27,55.2374
2019-12-26,55.5783
2019-12-25,55.1491
2019-12-24,55.1316
2019-12-23,54.6168
2019-12-22,54.559
2019-12-21,54.4543
2019-12-20,54.4543
2019-12-19,54.9091
2019-12-18,54.7069
2019-12-17,54.2659
2019-12-16,53.9178
2019-12-15,53.7224
2019-12-14,53.7523
2019-12-13,53.7523
2019-12-12,53.3063
2019-12-11,52.9396
2019-12-10,53.2615
2019-12-09,53.203
2019-12-08,53.3272
2019-12-07,53.4555
2019-12-06,53.4555
2019-12-05,52.5491
2019-12-04,52.7179
2019-12-03,50.9142
2019-12-02,50.6015
2019-12-01,50.6701
2019-11-30,50.3078
2019-11-29,50.3066
2019-11-28,52.7598
2019-11-27,52.6762
2019-11-26,52.8525
2019-11-25,52.6296
2019-11-24,52.6285
2019-11-23,52.598
2019-11-22,52.598
2019-11-21,52.7277
2019-11-20,51.4218
2019-11-19,49.9702
2019-11-18,51.4969
2019-11-17,52.3288
2019-11-16,52.4961
2019-11-15,52.4961
2019-11-14,51.7187
2019-11-13,52.1505
2019-11-12,51.4597
2019-11-11,51.3256
2019-11-10,51.8258
2019-11-09,52.1376
2019-11-08,52.1358
2019-11-07,51.5443
2019-11-06,50.8873
2019-11-05,51.546
2019-11-04,50.838
2019-11-03,50.3315
2019-11-02,50.3381
2019-11-01,50.3349
2019-10-31,48.4781
2019-10-30,49.2268
2019-10-29,49.9529
2019-10-28,50.3132
2019-10-27,51.1604
2019-10-26,51.1214
2019-10-25,51.1225
2019-10-24,50.5246
2019-10-23,50.0685
2019-10-22,48.7165
2019-10-21,48.0113
2019-10-20,48.1385
2019-10-19,48.183
2019-10-18,48.183
2019-10-17,48.6258
2019-10-16,47.7439
2019-10-15,48.0032
2019-10-14,48.4979
2019-10-13,49.6174
2019-10-12,49.7409
2019-10-11,49.724
2019-10-10,49.0211
2019-10-09,47.135
2019-10-08,47.8046
2019-10-07,48.189
2019-10-06,48.0238
2019-10-05,48.274
2019-10-04,48.2711
2019-10-03,47.7373
2019-10-02,47.9888
2019-10-01,49.4355
2019-09-30,49.8096
2019-09-29,51.2778
2019-09-28,51.3529
2019-09-27,51.346
2019-09-26,51.5987
2019-09-25,51.7468
2019-09-24,51.6025
2019-09-23,53.032
2019-09-22,53.3251
2019-09-21,52.9915
2019-09-20,52.9915
2019-09-19,53.1995
2019-09-18,52.6633
2019-09-17,52.9971
2019-09-16,56.3311
2019-09-15,55.1841
2019-09-14,49.256
2019-09-13,49.2556
2019-09-12,49.9505
2019-09-11,50.8154
2019-09-10,52.3826
2019-09-09,52.5966
2019-09-08,51.5969
2019-09-07,50.9727
2019-09-06,50.9592
2019-09-05,50.9944
2019-09-04,50.8127
2019-09-03,49.2491
2019-09-02,49.9126
2019-09-01,49.9209
2019-08-31,50.0918
2019-08-30,50.0972
2019-08-29,51.1809
2019-08-28,50.4045
2019-08-27,50.0888
2019-08-26,48.552
2019-08-25,47.6159
2019-08-24,48.0229
2019-08-23,48.0674
2019-08-22,50.0159
2019-08-21,50.5299
2019-08-20,50.588
2019-08-19,50.6227
2019-08-18,49.5606
2019-08-17,49.4679
2019-08-16,49.4679
2019-08-15,49.3024
2019-08-14,49.1405
2019-08-13,50.7405
2019-08-12,48.8318
2019-08-11,48.5127
2019-08-10,48.0967
2019-08-09,48.0967
2019-08-08,47.1431
2019-08-07,46.8077
2019-08-06,47.6543
2019-08-05,48.2382
2019-08-04,49.798
2019-08-03,49.6237
2019-08-02,49.6237
2019-08-01,49.0336
2019-07-31,52.2811
2019-07-30,52.1265
2019-07-29,51.2788
2019-07-28,50.3643
2019-07-27,50.454
2019-07-26,50.454
2019-07-25,50.2704
2019-07-24,50.2283
2019-07-23,51.2062
2019-07-22,50.0606
2019-07-21,50.1605
2019-07-20,49.7619
2019-07-19,49.7577
2019-07-18,49.7165
2019-07-17,50.5246
2019-07-16,51.3781
